question,intent
날씨 알려주겠니,날씨
날씨 정보 알려주세요,날씨
그 때 날씨 어떨까,날씨
그 때 날씨 좋으려나,날씨
날씨 어떨 것 같은데,날씨
날씨 어때,날씨
날씨 말해줄래,날씨
날씨 어떠니,날씨
구름 많이 꼈나,날씨
날씨 어떠냐,날씨
야 날씨 어때,날씨
날씨 시원하니,날씨
따뜻하니 날씨,날씨
인천 날씨 따뜻해,날씨
부산 시원해,날씨
부산 시원하니,날씨
시원한 날씨니,날씨
밀양 지금 날씨 시원해,날씨
구름 껴서 날씨 쌀쌀해,날씨
오늘 날씨 알려줘,날씨
날씨 어떠려나,날씨
전주 날씨 어떤지 말해줘,날씨
날씨 궁금해서 물어봤어,날씨
날씨 알려주세요,날씨
기온 어떠려나,날씨
체감 기온 어떠려나,날씨
오늘 날씨 알려주겠니,날씨
날씨 궁금해,날씨
지금 날씨 어떤데,날씨
저기 날씨 어때,날씨
날씨 완전 문젠데,날씨
세종 날씨 시원할까,날씨
시원한 날씨니,날씨
세종 날씨 한 번 알려줘,날씨
모레 날씨 궁금해,날씨
날씨 궁금해요,날씨
날씨 어떨까,날씨
하늘 우박 떨어지네,날씨
지금 날씨 어때,날씨
날씨 좀 알려줄래,날씨
궁금해 날씨,날씨
어때 좀 날씨,날씨
내일 근데 날씨 어떠려나,날씨
해 떴니 지금,날씨
하늘 해 떴니 지금,날씨
기온 어때 지금,날씨
기온 알려주세요,날씨
아 날씨 흐리네,날씨
어떤데 날씨,날씨
날씨 알려줬으면 졸겠어,날씨
천둥 치나,날씨
하늘 구름 많네,날씨
내일 여행갈건데 날씨 알려줘,날씨
날씨 궁금하네,날씨
오늘 맑니,날씨
내일 해 뜰까,날씨
날씨 많이 흐리려나,날씨
알려주세요 날씨,날씨
구름 꼈나,날씨
구름 끼었나,날씨
지금 하늘 구름 많니,날씨
날씨 알려주세요 궁금해요,날씨
맑으려나 내일,날씨
날씨 궁금해서,날씨
비 안 내려야 하는데,날씨
날씨 따뜻하려나,날씨
기온 따뜻하겠지,날씨
부천 현재 바람 시원하니,날씨
기온 알려주세요,날씨
내일 맑겠지,날씨
서울 다음주 날씨 알려줄래요,날씨
부안 날씨 어떻게 돼,날씨
오늘 서천 날씨 좀 알려줄수 있니,날씨
내일 날씨 영덕 알려줄수 있어,날씨
이번 주 가로수길 날씨 알려줄래,날씨
구암 다음 주 날씨 알려줘,날씨
이번주 영등포 날씨 줘,날씨
구로 다음주 날씨 알려줄래,날씨
일산 날씨 어떻게 돼요,날씨
오늘 안암 날씨 좀 알려줄수 있니,날씨
내일 날씨 알려줄수 있어,날씨
이번 주 홍대 날씨 알려줄래,날씨
남구 다음 주 날씨 알려줘,날씨
이번주 보령 날씨 줘,날씨
하늘 맑을까,날씨
