question,entity
서울 꽃구경 가고 싶다고,S-LOCATION S-TRAVEL O O
인천 바다 보러 갈거 같아,S-TRAVEL O O O O
어느 관광지 좋을까,O O O
부산 야구장 관광지 알고 싶어,S-LOCATION S-TRAVEL O O O
갈만한 대구 스키 관광지 추천해 주세요,O S-LOCATION S-TRAVEL O O O
광주 꽃구경 가고 싶다고요,S-LOCATION S-TRAVEL O O
울산 수목원 알려줘 봐요,S-LOCATION S-TRAVEL O O
관광지 있는지 모르겠네요,O O O
인천 워터파크 개장한 곳 있어,S-LOCATION S-TRAVEL O O O
어디 관광지 가겠냐,O O O
파주 유명한 공연장 알려줘,S-LOCATION O S-TRAVEL O
창원 여행 갈만한 바다,S-LOCATION O O S-TRAVEL
평택 갈만한 스키장 여행 해보고 싶네,S-LOCATION O S-TRAVEL O O O
제주도 템플스테이 여행 갈 데 추천해 줘,S-LOCATION S-TRAVEL O O O O O
전주 가까운 바다 관광지 보여줘 봐요,S-LOCATION O S-TRAVEL O O O
용인 가까운 축구장 어딨어,S-LOCATION O S-TRAVEL O
붐비는 관광지,O O
청주 가을 풍경 예쁜 산 가보고 싶어,S-LOCATION S-DATE O O S-TRAVEL O O
안산 다시 오고 싶은 템플스테이,S-LOCATION O O O S-TRAVEL
시흥 가까운 물놀이 알려 좀 줘봐요,S-LOCATION O S-TRAVEL O O O
춘천 동물원 관광지 알려주라,S-LOCATION S-TRAVEL O O
목포 꽃놀이 어디 가는게 좋을까,S-LOCATION S-TRAVEL O O O
대산면 가까운 사찰 관광지 추천해 줬으면 해요,S-LOCATION O S-TRAVEL O O O O
강남구 미술관 관광지 알려줘,S-LOCATION S-TRAVEL O O
강동구 경기장 구경 갈래,S-LOCATION S-TRAVEL O O
강북구 볼링장 가고 싶네요,S-LOCATION S-TRAVEL O O
강서구 가까운 문학관 관광지 어디 가야 할까,S-LOCATION O S-TRAVEL O O O O
관악구 갈만한 연극 추천받고 싶은데요,S-LOCATION O S-TRAVEL O O
혹시 광진구 바닷가 갈만한 데 어디니,O S-LOCATION S-TRAVEL O O O
구로구 가까운 시장 관광지 원해요,S-LOCATION O S-TRAVEL O O
금천구 꽃구경 위치 알려줘,S-LOCATION S-TRAVEL O O
노원구 가까운 절 관광지 알려주면 좋겠어요,S-LOCATION O S-TRAVEL O O O
도봉구 박물관 갈만한 곳 추천해 줘,S-LOCATION S-TRAVEL O O O O
동대문구 놀이공원 알고 싶다고요,S-LOCATION S-TRAVEL O O
동작구 계곡 가고 싶은데 알려줄래,S-LOCATION S-TRAVEL O O O
관광지 보고 싶다고,O O O
서대문구 놀이동산 괜찮을까요,S-LOCATION S-TRAVEL O
서초구 유명한 등산 관광지 추천해 주세요,S-LOCATION O S-TRAVEL O O O
성동구 주변 갈만한 계곡 어디,S-LOCATION O O S-TRAVEL O
성북구 에버랜드 가고 싶어,S-LOCATION S-TRAVEL O O
송파구 가까운 축구 관광지 가고싶어,S-LOCATION O S-TRAVEL O O
양천구 유명한 바닷가 알려줘 봐요,S-LOCATION O S-TRAVEL O O
영등포구 속 뻥 뚫리는 산책로,S-LOCATION O O O S-TRAVEL
광명구 물놀이 하고 싶어,S-LOCATION S-TRAVEL O O
은평구 유명한 산 관광지 어디 있니,S-LOCATION O S-TRAVEL O O O
종로구 가족끼리 계곡 여행,S-LOCATION O S-TRAVEL O
중구 축구장 어디,S-LOCATION S-TRAVEL O
중랑구 시장 관광지 추천해 줘,S-LOCATION S-TRAVEL O O O
부산 서구 해수욕장 추천 필요해,B-LOCATION E-LOCATION S-TRAVEL O O
서울 동구 꽃구경 할만한 곳 어디,B-LOCATION E-LOCATION S-TRAVEL O O O
영도구 계곡 보고 싶은데 추천해 줘,S-LOCATION S-TRAVEL O O O O
부산진구 시원한 여름 축제,S-LOCATION O S-DATE S-TRAVEL
건대 근처 쉼터 있니 알려줘,S-LOCATION O S-TRAVEL O O
신촌 가까운 야구장 어디 있어,S-LOCATION O S-TRAVEL O O
